n,avg_time_taken_ms
2,0.0014
3,0.0016
4,0.0023
5,0.0021
6,0.002
7,0.002
8,0.0042
9,0.0039
10,0.0024
11,0.0022
12,0.0036
13,0.0034
14,0.0033
15,0.0038
16,0.0087
17,0.0034
18,0.0042
19,0.0046
20,0.0053
21,0.0045
22,0.0057
23,0.005
24,0.0053
25,0.0061
26,0.0076
27,0.0094
28,0.0106
29,0.0072
30,0.0176
31,0.0079
32,0.0111
33,0.0172
34,0.0072
35,0.0101
36,0.0085
37,0.0104
38,0.0169
39,0.0099
40,0.0096
41,0.037
42,0.0108
43,0.0107
44,0.0101
45,0.0111
46,0.0123
47,0.0131
48,0.0123
49,0.0137
50,0.0157
